"","area","location","Timepoint","date","water_temp","nest_ID","Nest_size","Live_eggs","Egg_squares","Eyed","male","length","weight","canibalism","hatched_in_box"
"217","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,14,"l","y",48.5,"y","y",52,108,"n",""
"218","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,26,"l","y",20,"y","y",52,125,"n","y"
"219","Ringstad","Finnoya","3","18.07.2022",13.2,29,"s","y",33,"n","y",52,93,"y",""
"220","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,4,"l","n",0,"","n",52.5,97,"",""
"221","Hitra","Teistholmen 10","2","12.06.2022",NA,8,"l","y",80.5,"n","y",53,113,"n",""
"222","Hitra","Feoya f4-5","3","10.07.2022",12.8,28,"l","y",84,"y","y",53,117,"n",""
"223","Kristineberg","Blabergsholmen","3","15.07.2022",NA,23,"s","y",30,"n","y",53,113,"n",""
"224","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,14,"l","y",60,"y","y",53,130,"y",""
"225","Kristineberg","Pittleholmen","2","08.06.2022",NA,16,"l","n",0,"","y",53,131,"",""
"226","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,12,"l","y",65,"n","y",53,122,"n",""
"227","Austevoll","Lamoya","2","20.0.2022",13.9,20,"l","y",55.5,"n","y",53,130,"y",""
"228","Austevoll","Krabbavika","2","19.06.2022",12.9,30,"l","n",0,"","y",53,119,"",""
"229","Helligvaer","Store-kvannoya","2","10.06.2022",NA,13,"s","y",15,"n","y",53,114,"n",""
"230","Ringstad","Finnoya","2","26.06.2022",12.5,29,"s","y",56,"y","y",53,103,"","y"
"231","Ringstad","Finnoya","2","24.06.2022",10.3,19,"s","y",33,"y","y",53,97,"y",""
"232","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,23,"s","y",30,"y","y",53.5,115,"","y"
"233","Austevoll","Lamoya","2","20.0.2022",13.9,11,"s","y",31.5,"n","y",53.5,112,"y","y"
"234","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,10,"l","y",58,"n","y",53.5,117,"y",""
"235","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,5,"s","y",39,"y","y",54,126,"y",""
"236","Kristineberg","Pittleholmen","3","12.07.2022",NA,14,"l","y",54,"n","y",54,115,"n",""
"237","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,5,"s","y",30,"y","y",54,114,"",""
"238","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,6,"l","y",26,"y","y",54,146,"n",""
"239","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,29,"s","y",30,"n","y",54,128,"n",""
"240","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,30,"l","y",84,"n","y",54,130,"y",""
"241","Ringstad","Finnoya","2","26.06.2022",12.5,28,"l","y",82,"y","y",54,100,"n","y"
"242","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,2,"l","y",80,"y","y",54,128,"y","y"
"243","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,3,"s","y",30,"n","y",54.5,134,"y",""
"244","Kristineberg","Pittleholmen","2","08.06.2022",NA,14,"l","y",45.5,"n","y",54.5,130,"y",""
"245","Helligvaer","Gudmunholmen","2","12.06.2022",NA,1,"s","y",26,"y","y",54.5,126,"y",""
"246","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,11,"s","y",23,"n","y",54.5,109,"y",""
"247","Ringstad","Finnoya","2","24.06.2022",10.3,16,"l","y",84,"n","y",54.5,124,"y",""
"248","Ringstad","Hongvaeret","2","27.06.2022",11.7,18,"l","y",10,"y","y",54.5,116,"y","y"
"249","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,22,"l","y",84.5,"n","y",55,148,"y",""
"250","Kristineberg","Pittleholmen","2","08.06.2022",NA,18,"l","y",52,"n","y",55,137,"n",""
"251","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,24,"l","y",20,"y","y",55,136,"","y"
"252","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,3,"s","y",23,"y","y",55,116,"y","y"
"253","Ringstad","Finnoya","3","18.07.2022",13.2,23,"s","y",1,"n","y",55,116,"n","y"
"254","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,8,"l","y",3,"y","y",55.5,139,"",""
